,id,name,genres,popularity,followers
1015,4PjHNisXpQqSDXOJBFRK8p,The Federal Empire,['indie rockism'],56,3021
1016,60ETw93KnLzkysVpiZ3VYA,It's Different,"['bass trap', 'tracestep']",58,15847
1017,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['big room', 'edm', 'progressive house', 'tropical house']",88,3977244
1018,3UCbp6D1lvILlxRJT9LnFa,Koven,"['brostep', 'catstep', 'chillstep', 'complextro', 'edm', 'electro house', 'tracestep']",56,15827
1019,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['big room', 'edm', 'progressive house', 'tropical house']",88,3977244
1020,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"['big room', 'brostep', 'edm', 'electro house', 'house', 'trance', 'tropical house']",85,2389468
1021,66WlHWWE9PEuRZ8LI2atjA,Future Access,[],28,94
1022,5txMmnvic4rIbvEBrPsOcz,Blansh,[],13,12
1023,53YSn9tHwGJ6bq5P0gGoYo,Firebeatz,"['big room', 'brostep', 'deep big room', 'dutch house', 'edm', 'electro house', 'house', 'moombahton', 'progressive electro house', 'progressive house', 'sky room']",65,206285
1024,3XINWZaloea97SIRiyTJxX,DubVision,"['big room', 'deep big room', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'sky room', 'tropical house']",59,82878
1025,5FstVfk3PrX8URfpjUjqcp,Ruby Prophet,[],50,623
1026,32ejcIBfk6cbs473H0LlBE,Rune RK,['danish pop'],52,12257
1027,4KkHjCe8ouh8C2P9LPoD4F,Yolanda Be Cool,['australian dance'],57,17924
1028,6OkVmXCnj1BPjTf5aihiwt,DCup,[],57,6240
1029,3tLYpanVDomWAZqF82NPds,Vigiland,"['edm', 'electronic trap', 'swedish idol pop', 'tropical house']",71,101890
1030,4r6k6rxMYR5sD9U2KApX9i,Tham Sway,[],59,892
1031,6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'progressive electro house', 'tropical house']",83,691903
1032,6C0KWmCdqrLU2LzzWBPbOy,Headhunterz,"['big room', 'deep big room', 'edm', 'electro house', 'hardstyle', 'progressive electro house']",67,222418
1033,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['big room', 'edm', 'progressive house', 'tropical house']",88,3977244
1034,53YSn9tHwGJ6bq5P0gGoYo,Firebeatz,"['big room', 'brostep', 'deep big room', 'dutch house', 'edm', 'electro house', 'house', 'moombahton', 'progressive electro house', 'progressive house', 'sky room']",65,206285
1035,0CbeG1224FS58EUx4tPevZ,Timmy Trumpet,"['australian dance', 'bass trap', 'big room', 'catstep', 'deep big room', 'edm', 'melbourne bounce']",73,226891
1036,3Rr1Vx3lro8cxDD6OFnYkJ,Chardy,['melbourne bounce'],48,2052
1037,1u7OVFmWah4wQhOPIbUb8U,Will Sparks,"['big room', 'deep big room', 'deep pop edm', 'edm', 'electro house', 'melbourne bounce', 'progressive electro house', 'sky room', 'tropical house']",66,104598
1038,7k9T7lZlHjRAM1bb0r9Rm3,Wiley,"['deep groove house', 'grime', 'house', 'uk garage']",70,166775
1039,3gClSlUEpEoQd4IldcqBUz,Elen Levon,['australian dance'],56,5629
1040,4cRXBNKXZ5vfw2IidDobcZ,Steam Phunk,['tracestep'],43,2534
1041,3gk0OYeLFWYupGFRHqLSR7,Showtek,"['big room', 'deep big room', 'edm', 'electro house', 'hardstyle', 'progressive electro house', 'progressive house', 'tropical house']",72,308916
1042,2INDI0xc49oGYTZC7fBZjX,We Are Loud,[],53,2793
1043,3gTl4XARdQR2Sy59osG0Ia,Sonny Wilson,[],55,1008
1044,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"['big room', 'brostep', 'edm', 'electro house', 'house', 'trance', 'tropical house']",85,2389468
1045,5pkdwIiDACB2SbNhk9DHtQ,Don Diablo,[],47,425
1046,66dO8EHFd4ZfjxdQC4VdAS,Thomas Troelsen,[],51,308
1047,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['big room', 'edm', 'progressive house', 'tropical house']",88,3977244
1048,6MzxeKydmXufvX7HYPknFW,Dawn Golden,"['lo star', 'vapor pop']",60,30242
1049,12SPNXi0aDpFt0rMVbmLrr,Jay Hardway,"['big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'sky room', 'tracestep', 'tropical house']",66,118543
1050,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,"['big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'tropical house']",80,1145391
1051,77AiFEVeAVj2ORpC85QVJs,Steve Aoki,"['big room', 'dance pop', 'edm', 'electro house', 'tropical house']",82,1649120
1052,7e1BNCygl2Gf7CX8LrByPv,Ummet Ozcan,"['big room', 'deep big room', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'progressive trance', 'sky room', 'trance']",65,145528
1053,5Ip2ecnyGpNyZvPuuYU8Ai,Dzeko & Torres,"['big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'sky room']",61,52753
1054,3fuxStOqQv8TiytHeuGiE8,Delaney Jane,[],65,5597
1055,6xQvQwZQQuq9R3TdPNbcR8,Bassjackers,"['bass trap', 'big room', 'brostep', 'deep big room', 'dutch house', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'sky room', 'tropical house']",70,237550
