name,url
David Berrie,https://www.usmagazine.com/celebrities/david-berrie/
David Boreanaz,https://www.usmagazine.com/celebrities/david-boreanaz/
David Cook,https://www.usmagazine.com/celebrities/david-cook/
David Katzenberg,https://www.usmagazine.com/celebrities/david-katzenberg/
David Letterman,https://www.usmagazine.com/celebrities/david-letterman/
David Schwimmer,https://www.usmagazine.com/celebrities/david-schwimmer/
David Spade,https://www.usmagazine.com/celebrities/david-spade/
Dax Shepard,https://www.usmagazine.com/celebrities/dax-shepard/
Dean McDermott,https://www.usmagazine.com/celebrities/dean-mcdermott/
Debra Messing,https://www.usmagazine.com/celebrities/debra-messing/
Demi Lovato,https://www.usmagazine.com/celebrities/demi-lovato/
Denis Leary,https://www.usmagazine.com/celebrities/denis-leary/
Denise Richards,https://www.usmagazine.com/celebrities/denise-richards/
Dennis Rodman,https://www.usmagazine.com/celebrities/dennis-rodman/
Desiree Hartsock,https://www.usmagazine.com/celebrities/desiree-hartsock/
Diane Kruger,https://www.usmagazine.com/celebrities/diane-kruger/
Dianna Agron,https://www.usmagazine.com/celebrities/dianna-agron/
Dina Manzo,https://www.usmagazine.com/celebrities/dina-manzo/
DJ AM,https://www.usmagazine.com/celebrities/dj-am/
DJ Cassidy,https://www.usmagazine.com/celebrities/dj-cassidy/
DJ Pauly D,https://www.usmagazine.com/celebrities/dj-pauly-d/
Dolly Parton,https://www.usmagazine.com/celebrities/dolly-parton/
Donald Faison,https://www.usmagazine.com/celebrities/donald-faison/
Donald Trump,https://www.usmagazine.com/celebrities/donald-trump/
Drake,https://www.usmagazine.com/celebrities/drake/
Drew Barrymore,https://www.usmagazine.com/celebrities/drew-barrymore/
DSquared2,https://www.usmagazine.com/celebrities/dsquared2/
Ed Sheeran,https://www.usmagazine.com/celebrities/ed-sheeran/
Eddie Cibrian,https://www.usmagazine.com/celebrities/eddie-cibrian/
Eddie Redmayne,https://www.usmagazine.com/celebrities/eddie-redmayne/
Edie Falco,https://www.usmagazine.com/celebrities/edie-falco/
Edward Burns,https://www.usmagazine.com/celebrities/edward-burns/
Edward Norton,https://www.usmagazine.com/celebrities/edward-norton/
Elisabeth Hasselbeck,https://www.usmagazine.com/celebrities/elisabeth-hasselbeck/
Elisabeth Moss,https://www.usmagazine.com/celebrities/elisabeth-moss/
Elisabetta Canalis,https://www.usmagazine.com/celebrities/elisabetta-canalis/
Elizabeth Banks,https://www.usmagazine.com/celebrities/elizabeth-banks/
Elizabeth Olsen,https://www.usmagazine.com/celebrities/elizabeth-olsen/
Elizabeth Taylor,https://www.usmagazine.com/celebrities/elizabeth-taylor/
Elle Fanning,https://www.usmagazine.com/celebrities/elle-fanning/
Elle MacPherson and Sara Paxton,https://www.usmagazine.com/celebrities/elle-macpherson-and-sara-paxton/
Ellen Page,https://www.usmagazine.com/celebrities/ellen-page/
Emily Maynard,https://www.usmagazine.com/celebrities/emily-maynard/
Emily VanCamp,https://www.usmagazine.com/celebrities/emily-vancamp/
Emma Roberts,https://www.usmagazine.com/celebrities/emma-roberts/
Emma Stone,https://www.usmagazine.com/celebrities/emma-stone/
Emma Watson,https://www.usmagazine.com/celebrities/emma-watson/
Eric Dane,https://www.usmagazine.com/celebrities/eric-dane/
Erin Andrews,https://www.usmagazine.com/celebrities/erin-andrews/
Ethan Hawke,https://www.usmagazine.com/celebrities/ethan-hawke/
Eva Longoria,https://www.usmagazine.com/celebrities/eva-longoria/
Eva Mendes,https://www.usmagazine.com/celebrities/eva-mendes/
Evan Rachel Wood,https://www.usmagazine.com/celebrities/evan-rachel-wood/
